Plant_Name,Status,lat,lon
Erath,Operating,32.1793,-98.2213
Beverly,Operating,42.5584,-70.8800
Danville,Operating,36.5860,-79.3950
Carver,Operating,41.8834,-70.7625
Wareham,Operating,41.7615,-70.7197
Marion,Operating,41.6977,-70.7525
Uxbridge2,Operating,42.0772,-71.6303
Uxbridge3,Operating,42.0772,-71.6303
Adams,Operating,42.6242,-73.1174
Uxbridge1,Operating,42.0772,-71.6303
West1,Operating,41.5700,-71.0735
West2,Operating,41.5700,-71.0735
OSG,Operating,42.5904,-72.3098
Rehoboth,Operating,41.8470,-71.2394
West River,Operating,42.5927,-72.3305
Sargent,Operating,42.5631,-71.9376
Manomet,Operating,41.9161,-70.5621
Palmer,Operating,41.4613,-71.7776
Seth,Construction,41.6285,-71.6638
Billington,Operating,41.9336,-70.6826
Charlton,Operating,42.1356,-71.9701
Oxford,Operating,42.1168,-71.8648
Sheffield,Operating,42.1100,-73.3551
JEFE,Operating,42.5904,-72.3098
Freetown,Operating,41.7620,-71.0141
Rochester,Construction,41.7550,-70.8453
Linden,Operating,40.6220,-74.2446
Rockport,Operating,44.1911,-69.0795
Dudley,Construction,42.0434,-71.9276
Sheffield B,Operating,42.1100,-73.3551
Doolittle,Construction,42.4256,-73.2916
Earhardt,Construction,42.4256,-73.2916
Mendon,Construction,42.0029,-71.5148
Burrillville,Construction,41.9661,-71.6847
Middlesex,Operating,40.5726,-74.4927
Scarborough,Construction,43.5902,-70.3345
Buxton,Construction,43.6379,-70.5189
Saco,Construction,43.5009,-70.4428
Dayton,Construction,43.5359,-70.5705
Benton,Construction,44.5862,-69.5509
Naples,Construction,43.9863,-70.6180
Raymond,Construction,43.9016,-70.4684
Hampden,Construction,44.7445,-68.8370
Acushnet B,Construction,41.7224,-70.8952
Acushnet E,Construction,41.7224,-70.8952
